Cedula; Nombre; Apellido; Direccion; Telefono
11511211;Luisa;Marcano;Villa Guayana;-168105472
11511213;Ana;G?mez;San F?lix;-168105474
11511214;Javier;Rodr?guez;Alta Vista;-168105475
11511215;Patricia;S?nchez;Ciudad Guayana;-168105476
11511216;Roberto;Hern?ndez;Manoa;-168105477
11511217;Yolanda;L?pez;Puerto Ordaz;-168105478
11511218;Andr?s;D?az;El Palmar;-168105479
11511219;Teresa;Gonz?lez;Las Chimeneas;-168105480
11511220;David;Torres;Villa Brasil;-168105481
11511221;Beatriz;Ruiz;El Callao;-168105482
11511222;Juan;Mart?nez;San F?lix;-168105483
11511223;Carmen;Fern?ndez;Villa Guayana;-168105484
11511224;Ricardo;P?rez;Cachamay;-168105485
11511225;Rosa;Mendoza;Las Guaritas;-168105486
11511226;Luis;D?az;Los Olivos;-168105487
11511227;Olga;Rodr?guez;Villa Colombia;-168105488
11511228;Julio;Ram?rez;Universidad;-168105489
11511229;Isabel;Torres;San F?lix;-168105490
11511230;Marta;S?nchez;Unare;-168105491
11511231;Antonio;P?rez;Casco Central;-168105492
11511232;Laura;D?az;Alta Vista;-168105493
11511233;Francisco;Hern?ndez;Los Pinos;-168105494
11511234;Paula;L?pez;Macaray;-168105495
11511235;Enrique;Gonz?lez;Villa Colombia;-168105496
11511236;Victoria;Mart?nez;El Toco;-168105497
11511237;Mario;Romero;Vista Hermosa;-168105498
11511238;Pilar;S?nchez;San F?lix;-168105499
11511239;Guillermo;L?pez;El Palmar;-168105500
11511240;Carmen;?lvarez;Villa Bras?l;-168105501
11511241;Tom?s;Ram?rez;Colinas de Valle;-168105502
11511242;Elsa;Torres;San F?lix;-168105503
11511243;Javier;G?mez;Ciudad Guayana;-168105504
11511244;Francisco;Garc?a;Villa Brasil;-168105505
11511245;Sara;Mart?nez;Las Amazonas;-168105506
11511246;?ngel;Gonz?lez;San F?lix;-168105507
11511247;Victoria;L?pez;El Palmar;-168105508
11511248;Manuel;Torres;Manoa;-168105509
11511249;Roberto;Garc?a;Villa Guayana;-168105510
11511250;Clara;P?rez;Cachamay;-168105511
11511251;Sergio;Ram?rez;Las Chimeneas;-168105512
11511252;Clara;Rodr?guez;Los Olivos;-168105513
11511253;Teresa;Romero;San F?lix;-168105514
11511254;Ra?l;P?rez;Alta Vista;-168105515
11511255;Mart?n;Mart?nez;Las Guaritas;-168105516
11511256;Alberto;?lvarez;Villa Guayana;-168105517
11511257;Olga;Fern?ndez;Unare;-168105518
11511258;Enrique;Garc?a;Casco Central;-168105519
11511259;?ngela;Ram?rez;Las Amazonas;-168105520
11511260;Javier;S?nchez;San F?lix;-168105521
11511261;Sara;P?rez;Villa Brasil;-168105522
11511262;Carlos;D?az;Macaray;-168105523
11511263;Laura;Gonz?lez;Vista Hermosa;-168105524
11511264;Jes?s;?lvarez;Puerto Ordaz;-168105525
11511265;Iv?n;L?pez;Villa Guayana;-168105526
11511266;Oscar;Romero;El Callao;-168105527
11511267;Gabriela;Ram?rez;Cachamay;-168105528
11511268;Juan;Garc?a;Villa Guayana;-168105529
11511269;Elena;Torres;San F?lix;-168105530
11511270;Victor;Rodr?guez;Unare;-168105531
11511271;Lilia;S?nchez;Los Pinos;-168105532
11511272;Manuel;Hern?ndez;Ciudad Guayana;-168105533
11511273;Victoria;Gonz?lez;Villa Brasil;-168105534
11511274;Pablo;D?az;Las Chimeneas;-168105535
11511275;Teresa;Ram?rez;Casco Central;-168105536
11511276;Miguel;P?rez;Villa Guayana;-168105537
11511277;Susana;Garc?a;San F?lix;-168105538
11511278;Javier;Rodr?guez;Villa Brasil;-168105539
11511279;Adriana;Romero;El Callao;-168105540
11511280;Daniel;Torres;Villa Guayana;-168105541
11511281;Raquel;S?nchez;Ciudad Guayana;-168105542
11511282;Jos?;Ram?rez;Unare;-168105543
11511283;Paula;L?pez;Puerto Ordaz;-168105544
11511284;Isabel;Gonz?lez;San F?lix;-168105545
11511285;Roberto;Mart?nez;Villa Guayana;-168105546
11511286;Rosa;?lvarez;Manoa;-168105547
11511287;Mario;D?az;Alta Vista;-168105548
11511288;Margarita;P?rez;Los Olivos;-168105549
11511289;Santiago;Fern?ndez;San F?lix;-168105550
11511290;Patricia;Ram?rez;Villa Guayana;-168105551
33470348;Cesar;Ortu?o;Villa Asia;123456
